name;description;a;b;m
المنتج; مجموع الربع الأول ; مجموع الربع الثاني ; مجموع الربع الثالث ; مجموع الربع الرابع 
فروج مشوي; رس2,667.60 ; رس4,013.10 ; رس4,836.00 ; رس6,087.90 
مشروب اليانسون; رس544.00 ; رس600.00 ; رس140.00 ; رس440.00 
وجبة سرطان البحر; رس1,768.41 ; رس1,978.00 ; رس4,412.32 ; رس1,656.00 
أرز باللبن; رس3,182.40 ; رس4,683.50 ; رس9,579.50 ; رس3,060.00 
كباب حلة; رس225.28 ; رس2,970.00 ; رس1,337.60 ; رس682.00 
المقلوبة; رس-   ; رس-   ; رس288.22 ; رس85.40 
كشري; رس187.60 ; رس742.00 ; رس289.80 ; رس904.75 
مكرونة بالبشاميل; رس464.50 ; رس3,639.37 ; رس515.00 ; رس2,681.87 
برياني; رس-   ; رس-   ; رس1,750.00 ; رس750.00 
قهوة; رس1,398.40 ; رس4,496.50 ; رس1,196.00 ; رس3,979.00 
فواكه البحر; رس385.00 ; رس1,325.03 ; رس1,582.60 ; رس1,664.62 
تمر هندي; رس-   ; رس518.00 ; رس350.00 ; رس42.00 
ملوخية; رس488.00 ; رس-   ; رس-   ; رس512.50 
مسقعة; رس1,347.36 ; رس2,750.69 ; رس1,375.62 ; رس3,899.51 
محشي; رس1,509.60 ; رس530.40 ; رس68.00 ; رس850.00 
فتوش; رس1,390.00 ; رس4,488.20 ; رس3,027.60 ; رس2,697.00 
سلطة طحينة; رس-   ; رس1,300.00 ; رس-   ; رس2,960.00 
أرز بالخلطة; رس499.20 ; رس282.75 ; رس390.00 ; رس984.75 
شاي باللبن; رس551.60 ; رس665.00 ; رس-   ; رس890.40 
بسبوسة; رس-   ; رس4,252.50 ; رس3,061.80 ; رس-   
كنافة; رس1,462.00 ; رس644.00 ; رس1,733.00 ; رس1,434.00 
عرق سوس; رس1,310.40 ; رس1,368.00 ; رس1,323.00 ; رس1,273.50 
بسكويت بالشيكولاتة; رس943.89 ; رس349.60 ; رس841.80 ; رس851.46 
فواكه مجففة; رس1,084.80 ; رس1,575.00 ; رس2,700.00 ; رس3,826.50 
تبولة; رس3,202.87 ; رس263.40 ; رس842.88 ; رس2,590.10 
الإجمالي الكلي; رس24,612.91 ; رس43,435.04 ; رس41,640.74 ; رس44,803.26 
المنتج; مجموع الربع الأول ; مجموع الربع الثاني ; مجموع الربع الثالث ; مجموع الربع الرابع 
فروج مشوي; رس2,667.60 ; رس4,013.10 ; رس4,836.00 ; رس6,087.90 
مشروب اليانسون; رس544.00 ; رس600.00 ; رس140.00 ; رس440.00 
وجبة سرطان البحر; رس1,768.41 ; رس1,978.00 ; رس4,412.32 ; رس1,656.00 
أرز باللبن; رس3,182.40 ; رس4,683.50 ; رس9,579.50 ; رس3,060.00 
كباب حلة; رس225.28 ; رس2,970.00 ; رس1,337.60 ; رس682.00 
المقلوبة; رس-   ; رس-   ; رس288.22 ; رس85.40 
كشري; رس187.60 ; رس742.00 ; رس289.80 ; رس904.75 
مكرونة بالبشاميل; رس464.50 ; رس3,639.37 ; رس515.00 ; رس2,681.87 
برياني; رس-   ; رس-   ; رس1,750.00 ; رس750.00 
قهوة; رس1,398.40 ; رس4,496.50 ; رس1,196.00 ; رس3,979.00 
فواكه البحر; رس385.00 ; رس1,325.03 ; رس1,582.60 ; رس1,664.62 
تمر هندي; رس-   ; رس518.00 ; رس350.00 ; رس42.00 
ملوخية; رس488.00 ; رس-   ; رس-   ; رس512.50 
مسقعة; رس1,347.36 ; رس2,750.69 ; رس1,375.62 ; رس3,899.51 
محشي; رس1,509.60 ; رس530.40 ; رس68.00 ; رس850.00 
فتوش; رس1,390.00 ; رس4,488.20 ; رس3,027.60 ; رس2,697.00 
سلطة طحينة; رس-   ; رس1,300.00 ; رس-   ; رس2,960.00 
أرز بالخلطة; رس499.20 ; رس282.75 ; رس390.00 ; رس984.75 
شاي باللبن; رس551.60 ; رس665.00 ; رس-   ; رس890.40 
بسبوسة; رس-   ; رس4,252.50 ; رس3,061.80 ; رس-   
كنافة; رس1,462.00 ; رس644.00 ; رس1,733.00 ; رس1,434.00 
عرق سوس; رس1,310.40 ; رس1,368.00 ; رس1,323.00 ; رس1,273.50 
بسكويت بالشيكولاتة; رس943.89 ; رس349.60 ; رس841.80 ; رس851.46 
فواكه مجففة; رس1,084.80 ; رس1,575.00 ; رس2,700.00 ; رس3,826.50 
تبولة; رس3,202.87 ; رس263.40 ; رس842.88 ; رس2,590.10 
