—ﬁ„ «·ﬂ «»;«”„ «·ﬂ «»;—ﬁ„ «·ÿ»⁄…;”‰… «·«’œ«—;«·—ﬁ„ «·œÊ·Ì ··ﬂ «»;‰»–Â ⁄‰ «·ﬂ «»;—ﬁ„ œ«— «·‰‘—;—ﬁ„ ««·„Ã„Ê⁄…
1;”— «·ÕÌ«…;1;01-Ì‰«Ì—-17;1011;;2;11
2;c++;2;01-›»—«Ì—-17;2021;;2;55
3;«ﬂ””;1;02-›»—«Ì—-17;3031;;2;55
4; ﬁ‰Ì… «·„⁄·Ê„« ;1;01-Ì‰«Ì—-17;5051;;2;55
5;«”«”Ì«   ”ÊÌﬁ;1;01-Ì‰«Ì—-17;4041;;2;22
6;«·ﬂÌ„Ì«¡ «·⁄÷ÊÌ…;10;01-Ì‰«Ì—-15;7071;;3;33
7;«·›Ì—Ê”« ;12;01-√»—Ì·-14;7072;;3;33
8;«·Ã»— Ê«·«Õ „«·« ;43;23-Ì‰«Ì—-17;9091;;3;55
9;«·›·”›…;65;21-›»—«Ì—-17;9092;;3;22
10;«·€… «·«‰Ã·Ì“Ì…;465;01-„«—”-17;8081;;5;44
11;«·€… «·⁄—»Ì…;646;01-√»—Ì·-17;8082;;5;44
12;«·«ÕÌ«¡ «·œﬁÌﬁ…;43;01-›»—«Ì—-04;6061;;4;33
13;«·⁄ﬁ«ﬁÌ—;54;01-√»—Ì·-05;6062;;6;33
14;«”«”Ì«  «·«œ«—…;16;01-„«ÌÊ-04;9093;;7;22
15;«·„Õ«”»… «·„«·Ì…;32;21-√»—Ì·-06;9094;;4;22
16;«·€… «·›—‰”Ì…;12;25-›»—«Ì—-03;8083;;6;44
17;«·«Õﬂ«„ «·‘—⁄Ì…;13;27-Ì‰«Ì—-02;9095;;7;44
18;Ã«›« ”ﬂ—» ;23;26-œÌ”„»—-00;8084;;6;55
19;⁄„— »‰ ”Â·;123456789;02-√ﬂ Ê»—-19;1234;;;
